Fighter Name,fightno,slpmSecondSplit,strAccSecondSplit,sapmSecondSplit,strDefSecondSplit,tdAvgSecondSplit,tdAccSecondSplit,tdDefSecondSplit,subAvgSecondSplit
Bryan Barberena,11.0,5.48,48.0,4.7,45.0,0.23,28.0,60.0,0.5
Edson Barboza,25.0,4.16,44.0,4.15,59.0,0.42,44.0,78.0,0.1
Raoni Barcelos,5.0,5.59,52.0,4.17,67.0,2.23,56.0,85.0,0.7
Daniel Barez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Barnatt,6.0,4.43,36.0,3.87,59.0,0.63,42.0,63.0,0.4
James Barnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Barnes,0.0,2.86,29.0,8.93,51.0,5.36,100.0,100.0,5.4
Josh Barnett,29.0,3.2,50.0,2.11,57.0,1.26,55.0,55.0,1.4
Chris Barnett,1.0,4.64,38.0,8.43,40.0,0.0,0.0,0.0,0.0
Chris Barnhizer,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Baron,2.0,1.17,30.0,2.1,56.0,0.0,0.0,14.0,0.7
Phil Baroni,20.0,2.77,45.0,3.93,40.0,1.46,47.0,60.0,0.5
Dan Barrera,1.0,0.8,70.0,1.2,28.0,1.0,8.0,0.0,0.0
Carlos Barreto,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jose Barreto,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peter Barrett,3.0,4.18,61.0,4.32,42.0,1.39,22.0,66.0,0.0
Marc-Andre Barriault,5.0,5.36,48.0,4.79,55.0,0.43,25.0,72.0,0.0
David Barrios,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexandre Barros,1.0,0.98,40.0,4.05,36.0,1.84,50.0,100.0,0.0
Ricardo Barros,1.0,0.0,0.0,8.22,31.0,0.0,0.0,100.0,0.0
Francimar Barroso,9.0,2.77,52.0,3.07,59.0,2.22,24.0,83.0,0.0
Pat Barry,12.0,2.72,52.0,3.54,59.0,0.0,0.0,76.0,0.2
Dean Barry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enrique Barzola,10.0,3.91,41.0,2.97,68.0,4.2,45.0,66.0,0.3
Stephen Bass,1.0,4.87,52.0,5.87,55.0,0.0,0.0,0.0,0.0
Sean Bassett,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Bastianelli,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shayna Baszler,5.0,2.49,30.0,6.36,51.0,0.67,18.0,44.0,1.3
Michel Batista,1.0,0.0,0.0,4.03,40.0,6.72,50.0,0.0,0.0
Alan Baudot,1.0,1.89,25.0,10.11,36.0,0.0,0.0,0.0,0.0
Mario Bautista,4.0,5.71,45.0,4.78,54.0,0.48,33.0,70.0,0.0
Chris Beal,5.0,3.45,35.0,3.18,61.0,1.6,58.0,78.0,0.2
Rudy Bears,1.0,1.27,29.0,2.53,50.0,0.0,0.0,0.0,0.0
Salvador Becerra,0.0,4.57,31.0,3.83,58.0,0.0,0.0,66.0,0.0
Ariel Beck,1.0,4.44,34.0,4.31,64.0,0.0,0.0,0.0,0.0
Jeff Bedard,2.0,0.8,51.0,0.0,100.0,3.43,66.0,100.0,2.6
Eric Bedard,0.0,6.37,35.0,8.54,52.0,0.0,0.0,0.0,0.0
Johnny Bedford,6.0,4.53,50.0,1.75,63.0,1.83,62.0,62.0,0.0
Chase Beebe,7.0,2.17,38.0,1.64,69.0,2.49,42.0,41.0,0.9
Lyle Beerbohm,5.0,1.98,55.0,1.61,54.0,2.1,23.0,64.0,0.3
Mirsad Bektic,10.0,2.43,41.0,1.8,57.0,3.98,52.0,92.0,0.4
Diana Belbita,2.0,5.81,39.0,6.49,52.0,1.69,66.0,64.0,0.0
Alan Belcher,15.0,2.7,41.0,3.1,59.0,0.44,26.0,55.0,0.9
Vitor Belfort,39.0,1.59,46.0,2.83,50.0,1.02,60.0,53.0,0.6
Danilo Belluardo,2.0,1.52,61.0,4.79,41.0,3.5,100.0,50.0,0.0
Joey Beltran,11.0,4.92,36.0,5.27,54.0,0.48,18.0,75.0,0.0
Marco Beltran,6.0,2.07,37.0,1.93,63.0,0.7,50.0,46.0,0.2
Joseph Benavidez,29.0,3.52,34.0,2.67,61.0,1.41,30.0,62.0,0.6
Mike Bencic,2.0,0.0,0.0,3.32,53.0,0.0,0.0,0.0,0.0
Dave Beneteau,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karla Benitez,1.0,0.0,0.0,2.4,57.0,0.0,0.0,100.0,0.0
Gabriel Benitez,10.0,4.38,38.0,3.26,70.0,0.17,50.0,56.0,1.2
Charles Bennett,6.0,1.39,39.0,1.35,64.0,2.02,100.0,36.0,2.0
Josh Bennett,1.0,2.9,40.0,5.8,43.0,1.5,100.0,100.0,0.0
DeAnna Bennett,1.0,3.13,58.0,3.27,58.0,0.0,0.0,0.0,1.0
Lance Benoist,4.0,3.68,51.0,2.7,56.0,1.5,33.0,61.0,0.0
Joe Benoit,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Ryan Benoit,8.0,2.95,41.0,3.4,60.0,0.33,25.0,70.0,0.5
Pat Benson,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Len Bentley,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steve Berger,4.0,1.0,27.0,3.26,36.0,0.84,40.0,16.0,1.7
